ID,isocountrycode,rd2015,rd2014,rd2013,rd2012,rd2011,ns2015,ns2014,ns2013,ns2012,ns2011,emp2015,emp2014,emp2013,emp2012,emp2011,pubs.2011,pubs.2012,pubs.2013,pubs.2014,pubs.2015
ID0243,US,53.85907213,40.8179473,32.107172,21.594519,20.242913,NA,NA,8.338772,NA,3.202814,125,89,61,41,42,1,0,4,5,8
ID0244,DE,36.529,33.368,32.084,23.578,23.713,NA,241.491,219.487,200.898,209.216,1283,1129,1059,974,927,8,7,5,4,9
ID0245,US,44.40362397,38.2851345,31.96505,31.084766,25.490538,613.0712241,552.282952,478.722367,406.091664,347.865283,4375,3580,3420,3176,2593,0,0,0,0,0
ID0246,US,NA,22.28911392,31.719317,NA,14.689805,NA,28.23872162,8.234269,39.549294,2.365978,NA,29,24,21,18,3,1,0,4,1
ID0247,SE,NA,NA,31.648497,27.004552,19.830881,NA,NA,188.930499,180.457593,156.449295,NA,NA,592,594,619,39,29,48,56,59
ID0248,US,11.64237693,34.97210208,31.340005,33.853964,51.983179,NA,43.93737499,20.434342,18.840549,24.55442,NA,344,318,342,326,27,34,37,39,35
ID0249,JP,40.18475296,38.46044429,31.31128,27.971502,25.595783,1150.016569,1045.173768,990.378466,889.317471,828.347585,6642,6426,5845,5518,5347,3,6,9,7,6
ID0250,US,73.51248162,61.06812116,31.250091,20.401712,9.754188,1.260968461,1.054311068,0.586614,0.559785,0.007251,12,12,12,10,10,0,0,0,0,1
ID0251,JP,19.06085156,15.81810089,30.795356,28.390372,32.470692,NA,NA,7.0085,22.568712,42.858972,NA,NA,76,85,87,6,9,4,10,5
ID0252,JP,33.56074164,34.32172832,30.581349,22.381051,5.394341,988.182736,874.7151509,713.555627,646.787997,185.917517,1142,1138,926,880,824,1,0,0,0,0
ID0253,US,74.28980065,22.71990198,30.492351,59.92749,40.907839,3.14118088,0.995577126,0.580088,0.580088,0.483649,28,27,43,83,66,3,12,10,4,6
ID0254,US,98.76012262,48.79996898,30.382134,23.638605,14.78573,291.4946338,187.9487659,116.017696,72.438549,55.301285,1509,1061,646,698,502,1,4,6,11,6
ID0255,US,55.79221807,33.64514952,30.150824,23.103474,21.334204,NA,0.887536111,0.263215,13.350011,15.542021,185,97,92,112,96,20,21,12,13,12
ID0256,NZ,40.61336126,35.67640991,30.002039,25.763952,23.544398,486.7870075,383.0175118,338.167926,301.6797,277.578629,3587,3151,3012,2758,2592,10,3,2,3,8
ID0257,JP,32.03900881,31.03692476,29.934052,28.742749,27.647853,277.1687564,272.0189823,260.46137,236.284131,213.243106,2624,2666,3144,3153,3058,1,2,2,2,1
ID0258,CN,23.50944895,29.63025175,29.816109,26.528015,31.259224,1863.490255,1936.156459,2122.127158,2069.207418,2035.141575,17866,18573,19188,6397,16336,3,1,3,6,4
ID0259,FR,19.628,26.292,29.675,23.694,25.6,NA,250.549,244.52,239.845,234.969,NA,1040,1024,1057,988,66,72,53,63,57
ID0260,US,NA,NA,29.371474,16.72543,11.060649,NA,NA,54.648598,29.928991,7.610688,NA,NA,267,225,188,3,5,5,10,24
ID0261,US,22.95556501,5.309262984,28.920311,20.364006,24.06062,20.78023201,34.03671162,22.22319,5.481111,2.900442,100,92,85,70,79,8,7,8,5,7
ID0262,US,60.1066288,53.33046212,28.728157,28.592561,21.541586,2.936700063,7.999424587,8.158219,7.043724,15.67254,234,197,151,167,150,12,8,15,3,8
ID0263,US,NA,NA,28.556332,35.002284,12.910857,NA,NA,37.98096,36.141245,35.505932,NA,NA,286,287,240,2,2,1,8,11
ID0264,JP,28.7407747,27.71768818,28.536165,28.873586,26.608046,297.5641019,295.4740005,272.009427,282.076964,279.832082,872,862,886,897,888,6,7,14,10,6
ID0265,CH,21.71671666,32.51405457,28.388709,26.99705,26.927914,274.0389417,249.402116,224.696431,198.919422,202.195636,1116,1050,999,1015,1026,1,0,1,0,0
ID0266,GB,26.10399679,39.88110412,28.279313,24.667537,22.636503,1044.159883,1079.690247,989.775966,803.945347,665.669656,7189,7139,7067,6649,6165,0,0,1,1,3
ID0267,US,NA,69.4170495,28.238707,10.354579,2.58937,NA,4.27815446,3.365238,6.270031,6.694221,NA,68,41,36,NA,2,6,6,5,3
ID0268,DE,31.911,28.177,28.177,27.5,24.838,629.141,502.677,502.677,520.239,477.76,2969,2798,2650,2585,2575,1,2,0,0,0
ID0269,US,NA,NA,28.163296,35.593504,69.041406,NA,NA,2.631426,41.954899,70.797623,NA,NA,40,41,142,18,16,18,10,4
ID0270,SE,23.36593225,26.52659893,28.106813,16.141664,15.351512,2217.84459,1732.920605,1480.292161,1466.408073,1451.169439,4617,5202,3066,2869,2591,17,17,15,11,30
ID0271,DE,73.151,48.077693,27.829721,20.256345,35.745141,106.223,63.978,77.96,51.917,82.077,365,329,299,421,446,8,10,4,4,16
ID0272,US,24.72628613,27.04663986,27.481692,24.073672,21.100718,1015.01042,1030.672745,992.241342,918.280061,864.549366,7100,7000,6900,6700,6300,0,0,0,2,2
ID0273,US,34.59287159,27.91822301,27.476616,20.829527,19.028352,351.3590756,319.7014307,275.966217,227.704306,178.040031,1451,1236,1134,1089,773,3,1,2,5,1
ID0274,CN,47.94782484,39.22830921,27.373124,25.211415,8.851425,1177.949672,826.4885866,706.593779,617.620274,422.00903,12344,8934,7800,7225,6491,0,1,1,9,11
